#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AKT1	FGF17	9606.ENSP00000451828	9606.ENSP00000352414	0	0	0	0	0.043	0	0	0.661	0.662
AKT1	MTOR	9606.ENSP00000451828	9606.ENSP00000354558	0	0	0	0	0.060	0.925	0.900	0.954	0.999
AKT1	E2F2	9606.ENSP00000451828	9606.ENSP00000355249	0	0	0	0	0.060	0.057	0	0.451	0.471
AKT1	DLL1	9606.ENSP00000451828	9606.ENSP00000355718	0	0	0	0	0.057	0.098	0	0.392	0.437
AKT1	HEY2	9606.ENSP00000451828	9606.ENSP00000357348	0	0	0	0	0	0.071	0	0.465	0.481
AKT1	NRAS	9606.ENSP00000451828	9606.ENSP00000358548	0	0	0	0	0.099	0.164	0	0.774	0.815
AKT1	NFKB2	9606.ENSP00000451828	9606.ENSP00000358983	0	0	0	0	0.079	0.095	0	0.630	0.665
AKT1	GADD45A	9606.ENSP00000451828	9606.ENSP00000360025	0	0	0	0	0	0	0	0.479	0.479
AKT1	JUN	9606.ENSP00000451828	9606.ENSP00000360266	0	0	0	0	0.049	0.085	0.900	0.915	0.991
AKT1	PTEN	9606.ENSP00000451828	9606.ENSP00000361021	0	0	0	0	0	0.648	0	0.967	0.988
AKT1	NCOA3	9606.ENSP00000451828	9606.ENSP00000361066	0	0	0	0	0.058	0	0	0.485	0.495
AKT1	BAK1	9606.ENSP00000451828	9606.ENSP00000363591	0	0	0	0	0.062	0	0	0.412	0.425
AKT1	NOTCH4	9606.ENSP00000451828	9606.ENSP00000364163	0	0	0	0	0	0.098	0.750	0.419	0.857
AKT1	PIK3CD	9606.ENSP00000451828	9606.ENSP00000366563	0	0	0	0	0.042	0.098	0.900	0.757	0.976
AKT1	DVL1	9606.ENSP00000451828	9606.ENSP00000368166	0	0	0	0	0.149	0.093	0	0.690	0.740
AKT1	BRCA2	9606.ENSP00000451828	9606.ENSP00000369497	0	0	0	0	0.057	0	0	0.598	0.605
AKT1	FGF9	9606.ENSP00000451828	9606.ENSP00000371790	0	0	0	0	0	0	0	0.689	0.689
AKT1	AKT2	9606.ENSP00000451828	9606.ENSP00000375892	0	0	0.050	0.981	0.131	0.787	0.900	0.569	0.991
AKT1	GRB2	9606.ENSP00000451828	9606.ENSP00000376345	0	0	0	0	0.049	0.100	0	0.900	0.907
AKT1	IGF1	9606.ENSP00000451828	9606.ENSP00000376637	0	0	0	0	0	0.063	0	0.934	0.935
AKT1	TNFSF11	9606.ENSP00000451828	9606.ENSP00000381775	0	0	0	0	0	0	0	0.751	0.751
AKT1	SOS1	9606.ENSP00000451828	9606.ENSP00000384675	0	0	0	0	0.080	0.084	0	0.744	0.765
AKT1	CDKN1A	9606.ENSP00000451828	9606.ENSP00000384849	0	0	0	0	0	0.776	0.900	0.833	0.995
AKT1	FGFR1	9606.ENSP00000451828	9606.ENSP00000393312	0	0	0	0.570	0.050	0.316	0	0.365	0.552
AKT1	FGF16	9606.ENSP00000451828	9606.ENSP00000399324	0	0	0	0	0	0	0	0.687	0.687
AKT1	SHC1	9606.ENSP00000451828	9606.ENSP00000401303	0	0	0	0	0.060	0.073	0	0.758	0.771
AKT1	RAF1	9606.ENSP00000451828	9606.ENSP00000401888	0	0	0.145	0.583	0.075	0.816	0.900	0.557	0.992
AKT1	ESR1	9606.ENSP00000451828	9606.ENSP00000405330	0	0	0	0	0.055	0.314	0	0.877	0.913
AKT1	HRAS	9606.ENSP00000451828	9606.ENSP00000407586	0	0	0	0	0.103	0.110	0	0.880	0.896
AKT1	BRCA1	9606.ENSP00000451828	9606.ENSP00000418960	0	0	0	0	0	0.735	0.900	0.786	0.993
AKT1	BRAF	9606.ENSP00000451828	9606.ENSP00000419060	0	0	0.131	0.586	0	0.631	0	0.376	0.783
AKT1	PIK3R1	9606.ENSP00000451828	9606.ENSP00000428056	0	0	0	0	0.058	0.558	0.900	0.913	0.995
AKT1	TCF7L2	9606.ENSP00000451828	9606.ENSP00000486891	0	0	0	0	0.062	0.045	0	0.409	0.425
AKT1	FGF21	9606.ENSP00000451828	9606.ENSP00000471477	0	0	0	0	0.044	0	0	0.566	0.568
AKT1	FGF1	9606.ENSP00000451828	9606.ENSP00000480791	0	0	0	0	0	0	0	0.575	0.575
AKT1	IGF1R	9606.ENSP00000451828	9606.ENSP00000497069	0	0	0	0.559	0.062	0.294	0	0.470	0.619
AKT1	NOTCH1	9606.ENSP00000451828	9606.ENSP00000498587	0	0	0	0	0.139	0.505	0	0.757	0.887
AKT1	MYC	9606.ENSP00000451828	9606.ENSP00000478887	0	0	0	0	0	0.169	0	0.918	0.928
AKT1	AKT3	9606.ENSP00000451828	9606.ENSP00000500582	0	0	0.050	0.981	0	0.592	0.900	0.057	0.958
AKT1	CTNNB1	9606.ENSP00000451828	9606.ENSP00000495360	0	0	0	0	0.074	0.539	0.400	0.930	0.979
AKT1	PIK3CB	9606.ENSP00000451828	9606.ENSP00000501150	0	0	0	0	0.049	0.334	0.900	0.901	0.992
AKT2	MAPK1	9606.ENSP00000375892	9606.ENSP00000215832	0	0	0	0.592	0.083	0.110	0.900	0.240	0.929
AKT2	PIK3R2	9606.ENSP00000375892	9606.ENSP00000222254	0	0	0	0	0.074	0.093	0.900	0.615	0.963
AKT2	RPS6KB1	9606.ENSP00000375892	9606.ENSP00000225577	0	0	0.070	0.859	0.090	0.095	0.900	0.347	0.940
AKT2	CCND1	9606.ENSP00000375892	9606.ENSP00000227507	0	0	0	0	0.081	0	0	0.705	0.717
AKT2	KRAS	9606.ENSP00000375892	9606.ENSP00000256078	0	0	0	0	0.081	0.148	0	0.584	0.646
AKT2	PIK3R3	9606.ENSP00000375892	9606.ENSP00000262741	0	0	0	0	0.051	0.093	0.900	0.528	0.953
AKT2	MAPK3	9606.ENSP00000375892	9606.ENSP00000263025	0	0	0	0.587	0.062	0.110	0.900	0.604	0.962
AKT2	PIK3CA	9606.ENSP00000375892	9606.ENSP00000263967	0	0	0	0	0.042	0.098	0.900	0.841	0.984
AKT2	EGF	9606.ENSP00000375892	9606.ENSP00000265171	0	0	0	0	0	0	0	0.478	0.478
AKT2	TP53	9606.ENSP00000375892	9606.ENSP00000269305	0	0	0	0	0.072	0	0.900	0.734	0.973
AKT2	EGFR	9606.ENSP00000375892	9606.ENSP00000275493	0	0	0	0.561	0.042	0.175	0	0.549	0.612
AKT2	KIT	9606.ENSP00000375892	9606.ENSP00000288135	0	0	0	0	0.079	0.074	0	0.368	0.413
AKT2	RPS6KB2	9606.ENSP00000375892	9606.ENSP00000308413	0	0	0.072	0.860	0.101	0.095	0.900	0.138	0.923
AKT2	GSK3B	9606.ENSP00000375892	9606.ENSP00000324806	0	0	0	0.582	0.067	0.532	0.900	0.536	0.977
AKT2	PGR	9606.ENSP00000375892	9606.ENSP00000325120	0	0	0	0	0.067	0.071	0	0.575	0.600
AKT2	ESR2	9606.ENSP00000375892	9606.ENSP00000343925	0	0	0	0	0.057	0.071	0	0.389	0.419
AKT2	MTOR	9606.ENSP00000375892	9606.ENSP00000354558	0	0	0	0	0.060	0.073	0.900	0.668	0.967
AKT2	NRAS	9606.ENSP00000375892	9606.ENSP00000358548	0	0	0	0	0.074	0.110	0	0.441	0.499
AKT2	JUN	9606.ENSP00000375892	9606.ENSP00000360266	0	0	0	0	0	0.085	0.900	0.677	0.967
AKT2	PTEN	9606.ENSP00000375892	9606.ENSP00000361021	0	0	0	0	0	0.287	0	0.767	0.826
AKT2	PIK3CD	9606.ENSP00000375892	9606.ENSP00000366563	0	0	0	0	0.042	0.286	0.900	0.520	0.962
AKT2	IGF1R	9606.ENSP00000375892	9606.ENSP00000497069	0	0	0	0.562	0.071	0.045	0	0.378	0.401
AKT2	GRB2	9606.ENSP00000375892	9606.ENSP00000376345	0	0	0	0	0.049	0.100	0	0.397	0.439
AKT2	NOTCH1	9606.ENSP00000375892	9606.ENSP00000498587	0	0	0	0	0.093	0.098	0	0.388	0.456
AKT2	SHC1	9606.ENSP00000375892	9606.ENSP00000401303	0	0	0	0	0.062	0.073	0	0.456	0.486
AKT2	HRAS	9606.ENSP00000375892	9606.ENSP00000407586	0	0	0	0	0.076	0.110	0	0.442	0.501
AKT2	ESR1	9606.ENSP00000375892	9606.ENSP00000405330	0	0	0	0	0.055	0.314	0	0.455	0.616
AKT2	MYC	9606.ENSP00000375892	9606.ENSP00000478887	0	0	0	0	0	0.045	0	0.693	0.694
AKT2	CTNNB1	9606.ENSP00000375892	9606.ENSP00000495360	0	0	0	0	0.074	0.098	0.400	0.508	0.721
AKT2	IGF1	9606.ENSP00000375892	9606.ENSP00000376637	0	0	0	0	0	0.063	0	0.723	0.729
AKT2	RAF1	9606.ENSP00000375892	9606.ENSP00000401888	0	0	0.135	0.586	0.074	0.045	0.900	0.159	0.923
AKT2	BRCA1	9606.ENSP00000375892	9606.ENSP00000418960	0	0	0	0	0.049	0	0.900	0.402	0.938
AKT2	CDKN1A	9606.ENSP00000375892	9606.ENSP00000384849	0	0	0	0	0	0.296	0.900	0.415	0.955
AKT2	AKT3	9606.ENSP00000375892	9606.ENSP00000500582	0	0	0.051	0.979	0	0.162	0.900	0.617	0.965
AKT2	PIK3R1	9606.ENSP00000375892	9606.ENSP00000428056	0	0	0	0	0.066	0.093	0.900	0.789	0.979
AKT2	PIK3CB	9606.ENSP00000375892	9606.ENSP00000501150	0	0	0	0	0.048	0.276	0.900	0.783	0.983
AKT2	AKT1	9606.ENSP00000375892	9606.ENSP00000451828	0	0	0.050	0.981	0.131	0.787	0.900	0.569	0.991
AKT3	MAPK1	9606.ENSP00000500582	9606.ENSP00000215832	0	0	0	0.601	0.085	0.110	0.900	0.218	0.927
AKT3	PIK3R2	9606.ENSP00000500582	9606.ENSP00000222254	0	0	0	0	0.067	0.093	0.900	0.657	0.967
AKT3	RPS6KB1	9606.ENSP00000500582	9606.ENSP00000225577	0	0	0.069	0.852	0.083	0.095	0.900	0.384	0.943
AKT3	CCND1	9606.ENSP00000500582	9606.ENSP00000227507	0	0	0	0	0.081	0	0	0.537	0.557
AKT3	KRAS	9606.ENSP00000500582	9606.ENSP00000256078	0	0	0	0	0.079	0.110	0	0.513	0.566
AKT3	PIK3R3	9606.ENSP00000500582	9606.ENSP00000262741	0	0	0	0	0.051	0.093	0.900	0.733	0.973
AKT3	MAPK3	9606.ENSP00000500582	9606.ENSP00000263025	0	0	0	0.595	0.099	0.110	0.900	0.215	0.928
AKT3	PIK3CA	9606.ENSP00000500582	9606.ENSP00000263967	0	0	0	0	0.075	0.098	0.900	0.838	0.984
AKT3	FGF2	9606.ENSP00000500582	9606.ENSP00000264498	0	0	0	0	0.083	0	0	0.551	0.571
AKT3	EGF	9606.ENSP00000500582	9606.ENSP00000265171	0	0	0	0	0	0	0	0.405	0.405
AKT3	TP53	9606.ENSP00000500582	9606.ENSP00000269305	0	0	0	0	0	0	0.900	0.555	0.953
AKT3	KIT	9606.ENSP00000500582	9606.ENSP00000288135	0	0	0	0	0.086	0.074	0	0.370	0.420
AKT3	RPS6KB2	9606.ENSP00000500582	9606.ENSP00000308413	0	0	0.072	0.853	0.083	0.095	0.900	0.335	0.939
AKT3	GSK3B	9606.ENSP00000500582	9606.ENSP00000324806	0	0	0	0.586	0	0.552	0.900	0.254	0.963
AKT3	MTOR	9606.ENSP00000500582	9606.ENSP00000354558	0	0	0	0	0	0.073	0.900	0.609	0.960
AKT3	NRAS	9606.ENSP00000500582	9606.ENSP00000358548	0	0	0	0	0.074	0.110	0	0.514	0.564
AKT3	JUN	9606.ENSP00000500582	9606.ENSP00000360266	0	0	0	0	0	0.085	0.900	0.407	0.941
AKT3	PTEN	9606.ENSP00000500582	9606.ENSP00000361021	0	0	0	0	0	0.287	0	0.765	0.825
AKT3	PIK3CD	9606.ENSP00000500582	9606.ENSP00000366563	0	0	0	0	0	0.098	0.900	0.494	0.950
AKT3	AKT2	9606.ENSP00000500582	9606.ENSP00000375892	0	0	0.051	0.979	0	0.162	0.900	0.617	0.965
AKT3	IGF1	9606.ENSP00000500582	9606.ENSP00000376637	0	0	0	0	0	0.063	0	0.447	0.459
AKT3	SOS1	9606.ENSP00000500582	9606.ENSP00000384675	0	0	0	0	0.057	0.084	0	0.381	0.420
AKT3	CDKN1A	9606.ENSP00000500582	9606.ENSP00000384849	0	0	0	0	0	0.047	0.900	0.520	0.950
AKT3	SHC1	9606.ENSP00000500582	9606.ENSP00000401303	0	0	0	0	0.043	0.073	0	0.396	0.417
AKT3	RAF1	9606.ENSP00000500582	9606.ENSP00000401888	0	0	0.141	0.590	0	0.045	0.900	0.169	0.922
AKT3	ESR1	9606.ENSP00000500582	9606.ENSP00000405330	0	0	0	0	0.055	0.071	0	0.402	0.429
AKT3	HRAS	9606.ENSP00000500582	9606.ENSP00000407586	0	0	0	0	0.074	0.110	0	0.408	0.470
AKT3	BRCA1	9606.ENSP00000500582	9606.ENSP00000418960	0	0	0	0	0	0	0.900	0.375	0.934
AKT3	PIK3R1	9606.ENSP00000500582	9606.ENSP00000428056	0	0	0	0	0.071	0.093	0.900	0.768	0.977
AKT3	AKT1	9606.ENSP00000500582	9606.ENSP00000451828	0	0	0.050	0.981	0	0.592	0.900	0.057	0.958
AKT3	MYC	9606.ENSP00000500582	9606.ENSP00000478887	0	0	0	0	0	0.045	0	0.477	0.479
AKT3	CTNNB1	9606.ENSP00000500582	9606.ENSP00000495360	0	0	0	0	0.067	0.098	0	0.472	0.518
AKT3	NOTCH1	9606.ENSP00000500582	9606.ENSP00000498587	0	0	0	0	0.092	0.098	0	0.496	0.551
AKT3	PIK3CB	9606.ENSP00000500582	9606.ENSP00000501150	0	0	0	0	0	0.098	0.900	0.636	0.964
APC	DVL2	9606.ENSP00000257430	9606.ENSP00000005340	0	0	0	0	0	0.441	0.900	0.408	0.964
APC	WNT3	9606.ENSP00000257430	9606.ENSP00000225512	0	0	0	0	0	0.058	0.720	0.392	0.825
APC	CCND1	9606.ENSP00000257430	9606.ENSP00000227507	0	0	0	0	0	0.088	0	0.575	0.595
APC	KRAS	9606.ENSP00000257430	9606.ENSP00000256078	0	0	0	0	0.060	0.088	0	0.583	0.611
APC	JUN	9606.ENSP00000257430	9606.ENSP00000360266	0	0	0	0	0	0.088	0	0.370	0.400
APC	WNT7A	9606.ENSP00000257430	9606.ENSP00000285018	0	0	0	0	0	0.058	0	0.393	0.404
APC	EGFR	9606.ENSP00000257430	9606.ENSP00000275493	0	0	0	0	0	0	0	0.418	0.418
APC	BRAF	9606.ENSP00000257430	9606.ENSP00000419060	0	0	0	0	0.049	0.097	0	0.402	0.442
APC	WNT5A	9606.ENSP00000257430	9606.ENSP00000264634	0	0	0	0	0	0.058	0	0.448	0.458
APC	FRAT2	9606.ENSP00000257430	9606.ENSP00000360058	0	0	0	0	0	0	0.400	0.139	0.461
APC	AKT1	9606.ENSP00000257430	9606.ENSP00000451828	0	0	0	0	0	0.097	0	0.440	0.472
APC	PTEN	9606.ENSP00000257430	9606.ENSP00000361021	0	0	0	0	0.118	0	0	0.432	0.478
APC	PIK3CA	9606.ENSP00000257430	9606.ENSP00000263967	0	0	0	0	0.082	0.190	0	0.368	0.489
APC	FRAT1	9606.ENSP00000257430	9606.ENSP00000360060	0	0	0	0	0	0	0.400	0.330	0.580
APC	TP53	9606.ENSP00000257430	9606.ENSP00000269305	0	0	0	0	0	0.126	0	0.573	0.610
APC	WNT8B	9606.ENSP00000257430	9606.ENSP00000340677	0	0	0	0	0	0.058	0.500	0.238	0.610
APC	WNT8A	9606.ENSP00000257430	9606.ENSP00000426653	0	0	0	0	0	0.058	0.500	0.242	0.612
APC	MYC	9606.ENSP00000257430	9606.ENSP00000478887	0	0	0	0	0	0.115	0	0.581	0.613
APC	WNT2	9606.ENSP00000257430	9606.ENSP00000265441	0	0	0	0	0	0.058	0.540	0.326	0.682
APC	FZD1	9606.ENSP00000257430	9606.ENSP00000287934	0	0	0	0	0.042	0	0.540	0.403	0.714
APC	WNT1	9606.ENSP00000257430	9606.ENSP00000293549	0	0	0	0	0	0.058	0.500	0.532	0.760
APC	TCF7L1	9606.ENSP00000257430	9606.ENSP00000282111	0	0	0	0	0	0.071	0.650	0.365	0.775
APC	FZD2	9606.ENSP00000257430	9606.ENSP00000323901	0	0	0	0	0	0	0.500	0.590	0.786
APC	WNT3A	9606.ENSP00000257430	9606.ENSP00000284523	0	0	0	0	0	0.058	0.500	0.600	0.795
APC	TCF7L2	9606.ENSP00000257430	9606.ENSP00000486891	0	0	0	0	0	0.071	0.650	0.475	0.814
APC	LEF1	9606.ENSP00000257430	9606.ENSP00000265165	0	0	0	0	0	0.071	0.650	0.571	0.848
APC	LRP6	9606.ENSP00000257430	9606.ENSP00000261349	0	0	0	0	0.042	0	0.720	0.578	0.877
APC	CSNK1A1L	9606.ENSP00000257430	9606.ENSP00000369126	0	0	0	0	0	0	0.900	0.065	0.902
APC	LRP5	9606.ENSP00000257430	9606.ENSP00000294304	0	0	0	0	0	0	0.720	0.668	0.903
APC	APC2	9606.ENSP00000257430	9606.ENSP00000442954	0	0	0.085	0.819	0.062	0	0.900	0.089	0.911
APC	DVL3	9606.ENSP00000257430	9606.ENSP00000316054	0	0	0	0	0	0.051	0.900	0.337	0.931
APC	TCF7	9606.ENSP00000257430	9606.ENSP00000340347	0	0	0	0	0	0.071	0.900	0.571	0.956
APC	DVL1	9606.ENSP00000257430	9606.ENSP00000368166	0	0	0	0	0	0.512	0.900	0.808	0.989
APC	GSK3B	9606.ENSP00000257430	9606.ENSP00000324806	0	0	0	0	0.095	0.863	0.900	0.996	0.999
APC	AXIN1	9606.ENSP00000257430	9606.ENSP00000262320	0	0	0	0	0.054	0.994	0.900	0.996	0.999
APC	CTNNB1	9606.ENSP00000257430	9606.ENSP00000495360	0	0	0	0	0.099	0.999	0.900	0.996	0.999
APC	AXIN2	9606.ENSP00000257430	9606.ENSP00000302625	0	0	0	0	0.054	0.567	0.900	0.993	0.999
APC2	DVL2	9606.ENSP00000442954	9606.ENSP00000005340	0	0	0	0	0	0.045	0.900	0.121	0.908
APC2	APC	9606.ENSP00000442954	9606.ENSP00000257430	0	0	0.085	0.819	0.062	0	0.900	0.089	0.911
APC2	AXIN1	9606.ENSP00000442954	9606.ENSP00000262320	0	0	0	0	0.054	0.414	0.900	0.894	0.993
APC2	LEF1	9606.ENSP00000442954	9606.ENSP00000265165	0	0	0	0	0	0.071	0.650	0.166	0.705
APC2	TCF7L1	9606.ENSP00000442954	9606.ENSP00000282111	0	0	0	0	0	0.071	0.650	0.166	0.705
APC2	AXIN2	9606.ENSP00000442954	9606.ENSP00000302625	0	0	0	0	0.054	0.529	0.900	0.559	0.977
APC2	DVL3	9606.ENSP00000442954	9606.ENSP00000316054	0	0	0	0	0	0.045	0.900	0.157	0.912
APC2	GSK3B	9606.ENSP00000442954	9606.ENSP00000324806	0	0	0	0	0	0.234	0.900	0.594	0.966
APC2	TCF7	9606.ENSP00000442954	9606.ENSP00000340347	0	0	0	0	0.042	0.071	0.900	0.545	0.954
APC2	DVL1	9606.ENSP00000442954	9606.ENSP00000368166	0	0	0	0	0.072	0.045	0.900	0.263	0.926
APC2	CSNK1A1L	9606.ENSP00000442954	9606.ENSP00000369126	0	0	0	0	0	0	0.900	0.221	0.918
APC2	TCF7L2	9606.ENSP00000442954	9606.ENSP00000486891	0	0	0	0	0	0.071	0.650	0.200	0.717
APC2	CTNNB1	9606.ENSP00000442954	9606.ENSP00000495360	0	0	0	0	0.099	0.881	0.900	0.572	0.994
ARAF	MAPK1	9606.ENSP00000290277	9606.ENSP00000215832	0	0	0	0.592	0.094	0.110	0.500	0.251	0.657
ARAF	SOS2	9606.ENSP00000290277	9606.ENSP00000216373	0	0	0	0	0.064	0.084	0	0.523	0.556
